scientific_name,common_name
struthio camelus,common ostrich
struthio molybdophanes,somali ostrich
rhea americana,greater rhea
rhea pennata,lesser rhea
nothocercus julius,tawny-breasted tinamou
nothocercus bonapartei,highland tinamou
nothocercus nigrocapillus,hooded tinamou
tinamus tao,gray tinamou
tinamus solitarius,solitary tinamou
tinamus osgoodi,black tinamou
tinamus major,great tinamou
tinamus guttatus,white-throated tinamou
crypturellus cinereus,cinereous tinamou
crypturellus berlepschi,berlepsch's tinamou
crypturellus soui,little tinamou
crypturellus ptaritepui,tepui tinamou
crypturellus obsoletus,brown tinamou
crypturellus undulatus,undulated tinamou
crypturellus transfasciatus,pale-browed tinamou
crypturellus strigulosus,brazilian tinamou
crypturellus duidae,gray-legged tinamou
crypturellus erythropus,red-legged tinamou
crypturellus noctivagus,yellow-legged tinamou
crypturellus atrocapillus,black-capped tinamou
crypturellus boucardi,slaty-breasted tinamou
crypturellus kerriae,choco tinamou
crypturellus variegatus,variegated tinamou
crypturellus cinnamomeus,thicket tinamou
crypturellus brevirostris,rusty tinamou
crypturellus bartletti,bartlett's tinamou
crypturellus parvirostris,small-billed tinamou
crypturellus casiquiare,barred tinamou
crypturellus tataupa,tataupa tinamou
rhynchotus rufescens,red-winged tinamou
rhynchotus maculicollis,huayco tinamou
nothoprocta taczanowskii,taczanowski's tinamou
nothoprocta ornata,ornate tinamou
nothoprocta perdicaria,chilean tinamou
nothoprocta cinerascens,brushland tinamou
nothoprocta pentlandii,andean tinamou
nothoprocta curvirostris,curve-billed tinamou
nothura boraquira,white-bellied nothura
nothura minor,lesser nothura
nothura darwinii,darwin's nothura
nothura maculosa,spotted nothura
taoniscus nanus,dwarf tinamou
eudromia elegans,elegant crested-tinamou
eudromia formosa,quebracho crested-tinamou
tinamotis pentlandii,puna tinamou
tinamotis ingoufi,patagonian tinamou
casuarius casuarius,southern cassowary
casuarius bennetti,dwarf cassowary
casuarius unappendiculatus,northern cassowary
dromaius novaehollandiae,emu
apteryx australis,southern brown kiwi
apteryx rowi,okarito brown kiwi
apteryx mantelli,north island brown kiwi
apteryx owenii,little spotted kiwi
apteryx haastii,great spotted kiwi
anhima cornuta,horned screamer
chauna torquata,southern screamer
chauna chavaria,northern screamer
anseranas semipalmata,magpie goose
dendrocygna guttata,spotted whistling-duck
dendrocygna eytoni,plumed whistling-duck
dendrocygna viduata,white-faced whistling-duck
dendrocygna autumnalis,black-bellied whistling-duck
dendrocygna arborea,west indian whistling-duck
dendrocygna bicolor,fulvous whistling-duck
dendrocygna arcuata,wandering whistling-duck
dendrocygna javanica,lesser whistling-duck
thalassornis leuconotus,white-backed duck
anser indicus,bar-headed goose
anser canagicus,emperor goose
anser caerulescens,snow goose
anser rossii,ross's goose
anser anser,graylag goose
anser cygnoides,swan goose
anser albifrons,greater white-fronted goose
anser erythropus,lesser white-fronted goose
anser fabalis,taiga bean-goose
anser serrirostris,tundra bean-goose
anser brachyrhynchus,pink-footed goose
branta bernicla,brant
branta leucopsis,barnacle goose
branta hutchinsii,cackling goose
branta canadensis,canada goose
branta sandvicensis,hawaiian goose
branta ruficollis,red-breasted goose
cereopsis novaehollandiae,cape barren goose
stictonetta naevosa,freckled duck
cyanochen cyanoptera,blue-winged goose
cygnus olor,mute swan
cygnus atratus,black swan
cygnus melancoryphus,black-necked swan
cygnus buccinator,trumpeter swan
cygnus columbianus,tundra swan
cygnus cygnus,whooper swan
coscoroba coscoroba,coscoroba swan
sarkidiornis melanotos,knob-billed duck
sarkidiornis sylvicola,comb duck
pteronetta hartlaubii,hartlaub's duck
oressochen jubatus,orinoco goose
oressochen melanopterus,andean goose
chloephaga picta,upland goose
chloephaga hybrida,kelp goose
chloephaga poliocephala,ashy-headed goose
chloephaga rubidiceps,ruddy-headed goose
radjah radjah,radjah shelduck
alopochen aegyptiaca,egyptian goose
alopochen mauritiana,mauritius shelduck
alopochen kervazoi,reunion shelduck
tadorna ferruginea,ruddy shelduck
tadorna cana,south african shelduck
tadorna tadornoides,australian shelduck
tadorna variegata,paradise shelduck
tadorna tadorna,common shelduck
tadorna cristata,crested shelduck
plectropterus gambensis,spur-winged goose
tachyeres patachonicus,flying steamer-duck
tachyeres pteneres,flightless steamer-duck
tachyeres brachypterus,falkland steamer-duck
tachyeres leucocephalus,white-headed steamer-duck
cairina moschata,muscovy duck
nettapus pulchellus,green pygmy-goose
nettapus coromandelianus,cotton pygmy-goose
nettapus auritus,african pygmy-goose
callonetta leucophrys,ringed teal
aix galericulata,mandarin duck
chenonetta jubata,maned duck
chenonetta finschi,finsch's duck
amazonetta brasiliensis,brazilian teal
hymenolaimus malacorhynchos,blue duck
merganetta armata,torrent duck
salvadorina waigiuensis,salvadori's teal
sibirionetta formosa,baikal teal
spatula querquedula,garganey
spatula hottentota,blue-billed teal
spatula versicolor,silver teal
spatula puna,puna teal
spatula discors,blue-winged teal
spatula cyanoptera,cinnamon teal
spatula platalea,red shoveler
spatula smithii,cape shoveler
spatula rhynchotis,australasian shoveler
spatula clypeata,northern shoveler
mareca strepera,gadwall
mareca falcata,falcated duck
mareca penelope,eurasian wigeon
mareca americana,american wigeon
mareca sibilatrix,chiloe wigeon
mareca marecula,amsterdam duck
anas undulata,yellow-billed duck
anas melleri,meller's duck
anas superciliosa,pacific black duck
anas laysanensis,laysan duck
anas wyvilliana,hawaiian duck
anas luzonica,philippine duck
anas poecilorhyncha,indian spot-billed duck
anas zonorhyncha,eastern spot-billed duck
anas platyrhynchos,mallard
anas diazi,mexican duck
anas rubripes,american black duck
anas fulvigula,mottled duck
anas capensis,cape teal
anas bahamensis,white-cheeked pintail
anas erythrorhyncha,red-billed duck
anas acuta,northern pintail
anas eatoni,eaton's pintail
anas georgica,yellow-billed pintail
anas crecca,green-winged teal
anas andium,andean teal
anas flavirostris,yellow-billed teal
anas theodori,mauritius duck
anas albogularis,andaman teal
anas gibberifrons,sunda teal
anas gracilis,gray teal
anas castanea,chestnut teal
anas bernieri,bernier's teal
anas aucklandica,auckland islands teal
anas nesiotis,campbell islands teal
anas chlorotis,brown teal
malacorhynchus membranaceus,pink-eared duck
marmaronetta angustirostris,marbled teal
rhodonessa caryophyllacea,pink-headed duck
